iter	Passed	Remaining
0	0	84
1	1	80
2	2	77
3	2	71
4	3	69
5	4	68
6	5	69
7	5	68
8	6	66
9	7	66
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	18	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	48
32	23	47
33	24	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	29	42
41	29	40
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
