iter	Passed	Remaining
0	147	147708
1	150	75238
2	152	50780
3	154	38590
4	157	31265
5	158	26222
6	162	22989
7	163	20327
8	166	18346
9	168	16657
10	169	15236
11	172	14164
12	177	13466
13	179	12652
14	180	11882
15	183	11291
16	185	10737
17	187	10231
18	190	9832
19	192	9435
20	194	9046
21	195	8694
22	196	8363
23	197	8037
24	199	7775
25	201	7530
26	202	7297
27	203	7066
28	205	6876
29	206	6680
30	207	6489
31	208	6306
32	209	6139
33	210	5978
34	211	5823
35	211	5673
36	212	5533
37	213	5411
38	214	5286
39	215	5167
40	215	5050
41	216	4938
42	217	4830
43	217	4730
44	218	4632
45	219	4544
46	220	4465
47	221	4385
48	222	4311
49	222	4235
50	223	4161
51	224	4086
52	224	4013
53	225	3945
54	225	3878
55	226	3814
56	226	3755
57	227	3699
58	228	3643
59	229	3588
60	229	3534
61	230	3482
62	230	3431
63	231	3382
64	231	3335
65	232	3288
66	232	3243
67	233	3204
68	234	3168
69	235	3128
70	236	3091
71	236	3053
72	237	3017
73	238	2987
74	239	2951
75	239	2916
76	240	2881
77	241	2850
78	241	2820
79	242	2791
80	243	2761
81	244	2731
82	244	2699
83	244	2671
84	245	2642
85	246	2614
86	246	2586
87	246	2559
88	247	2533
89	247	2507
90	248	2481
91	249	2465
92	250	2444
93	251	2423
94	252	2400
95	252	2379
96	253	2360
97	254	2341
98	255	2323
99	256	2304
100	256	2285
101	257	2265
102	258	2247
103	258	2230
104	259	2211
105	259	2192
106	260	2173
107	260	2155
108	261	2137
109	261	2119
110	262	2102
111	262	2084
112	264	2074
113	265	2059
114	265	2044
115	266	2029
116	266	2014
117	267	1999
118	268	1984
119	268	1971
120	269	1957
121	269	1942
122	270	1927
123	270	1914
124	271	1900
125	272	1887
126	272	1873
127	273	1860
128	273	1847
129	274	1834
130	274	1822
131	275	1809
132	275	1796
133	276	1784
134	276	1773
135	277	1761
136	277	1749
137	278	1737
138	279	1731
139	280	1722
140	281	1712
141	281	1700
142	282	1690
143	282	1680
144	283	1669
145	283	1659
146	284	1649
147	284	1638
148	285	1628
149	285	1618
150	286	1608
151	286	1598
152	287	1589
153	287	1579
154	288	1570
155	288	1562
156	289	1553
157	289	1545
158	290	1536
159	290	1527
160	291	1518
161	291	1509
162	292	1501
163	292	1493
164	293	1484
165	295	1482
166	295	1475
167	296	1468
168	297	1460
169	297	1453
170	298	1447
171	299	1440
172	300	1434
173	300	1427
174	301	1420
175	301	1413
176	302	1405
177	302	1398
178	303	1391
179	303	1384
180	304	1377
181	304	1370
182	305	1363
183	305	1356
184	306	1349
185	306	1342
186	307	1335
187	307	1329
188	308	1323
189	309	1320
190	310	1315
191	311	1309
192	311	1303
193	312	1297
194	312	1291
195	313	1285
196	313	1279
197	314	1273
198	314	1267
199	315	1261
200	315	1256
201	316	1250
202	316	1244
203	317	1238
204	318	1233
205	318	1228
206	319	1222
207	319	1217
208	320	1211
209	320	1206
210	321	1200
211	321	1195
212	322	1190
213	322	1184
214	323	1179
215	323	1174
216	325	1173
217	325	1169
218	326	1164
219	326	1159
220	327	1155
221	328	1150
222	328	1146
223	329	1141
224	329	1136
225	330	1131
226	331	1127
227	331	1122
228	331	1117
229	332	1113
230	332	1108
231	333	1103
232	333	1099
233	334	1094
234	334	1090
235	335	1085
236	336	1082
237	337	1079
238	337	1074
239	338	1070
240	338	1066
241	339	1064
242	340	1061
243	341	1058
244	342	1054
245	342	1051
246	343	1047
247	344	1043
248	344	1039
249	345	1035
250	345	1031
251	346	1028
252	346	1024
253	347	1020
254	347	1016
255	348	1012
256	348	1008
257	349	1004
258	349	1001
259	350	997
260	350	993
261	351	989
262	351	986
263	352	982
264	352	978
265	353	975
266	355	975
267	355	972
268	356	968
269	356	965
270	357	961
271	357	957
272	358	954
273	358	950
274	359	947
275	359	944
276	360	940
277	360	937
278	361	934
279	361	930
280	362	927
281	362	924
282	363	921
283	364	918
284	364	914
285	365	911
286	365	908
287	366	905
288	366	902
289	367	899
290	368	896
291	368	893
292	369	890
293	370	889
294	370	886
295	371	883
296	371	880
297	372	877
298	373	875
299	373	872
300	374	869
301	374	866
302	375	863
303	375	860
304	376	857
305	377	855
306	377	852
307	378	849
308	378	846
309	379	843
310	379	841
311	380	838
312	380	835
313	381	833
314	381	830
315	382	828
316	383	825
317	383	823
318	385	822
319	385	819
320	386	817
321	387	814
322	387	812
323	388	809
324	388	807
325	389	804
326	389	802
327	390	799
328	391	797
329	391	794
330	392	792
331	392	790
332	393	787
333	393	784
334	394	782
335	394	779
336	395	777
337	395	774
338	396	772
339	396	769
340	397	767
341	397	764
342	398	762
343	398	759
344	399	759
345	400	757
346	401	755
347	402	753
348	402	750
349	403	748
350	403	746
351	404	744
352	404	741
353	405	739
354	405	737
355	406	734
356	406	732
357	407	730
358	407	727
359	408	725
360	408	723
361	409	721
362	409	719
363	410	717
364	410	715
365	411	712
366	411	710
367	412	708
368	412	706
369	413	704
370	413	701
371	415	700
372	415	698
373	416	697
374	417	695
375	417	693
376	418	691
377	418	689
378	419	687
379	419	684
380	420	682
381	420	680
382	421	678
383	421	676
384	422	674
385	422	672
386	423	670
387	424	668
388	424	666
389	425	665
390	426	663
391	426	662
392	427	660
393	427	658
394	428	656
395	428	654
396	429	652
397	430	651
398	431	650
399	432	648
400	433	646
401	433	644
402	434	643
403	434	641
404	435	639
405	435	637
406	436	635
407	437	634
408	437	632
409	438	630
410	438	628
411	439	626
412	439	624
413	440	622
414	440	621
415	441	619
416	441	617
417	442	615
418	442	613
419	442	611
420	443	609
421	444	608
422	445	607
423	446	605
424	446	604
425	447	602
426	447	600
427	448	599
428	448	597
429	449	595
430	449	593
431	450	592
432	450	590
433	451	588
434	452	587
435	452	585
436	453	583
437	453	582
438	454	580
439	454	578
440	455	577
441	455	575
442	456	573
443	456	571
444	457	570
445	457	568
446	458	567
447	458	565
448	459	563
449	460	562
450	460	561
451	461	559
452	462	558
453	462	556
454	463	554
455	464	553
456	464	552
457	465	550
458	465	549
459	466	547
460	467	546
461	467	544
462	468	543
463	468	541
464	469	539
465	469	538
466	470	536
467	471	535
468	471	533
469	472	532
470	472	530
471	473	529
472	473	527
473	474	526
474	475	525
475	475	523
476	476	522
477	477	520
478	477	519
479	478	518
480	478	516
481	479	515
482	479	513
483	480	512
484	480	510
485	481	509
486	481	507
487	482	506
488	483	504
489	483	503
490	484	501
491	484	500
492	485	498
493	485	497
494	486	495
495	486	494
496	486	492
497	487	491
498	487	489
499	488	488
500	488	486
501	489	485
502	490	484
503	491	483
504	492	482
505	492	480
506	493	479
507	493	478
508	494	476
509	494	475
510	495	474
511	495	472
512	496	471
513	496	469
514	497	468
515	498	467
516	498	465
517	499	464
518	499	463
519	500	461
520	500	460
521	501	459
